"","country","continent","lifeExp"
"1","Afghanistan","Asia",28.801
"2","Afghanistan","Asia",30.332
"3","Afghanistan","Asia",31.997
"4","Afghanistan","Asia",34.02
"5","Afghanistan","Asia",36.088
"6","Afghanistan","Asia",38.438
"7","Afghanistan","Asia",39.854
"8","Afghanistan","Asia",40.822
"9","Afghanistan","Asia",41.674
"10","Afghanistan","Asia",41.763
"11","Afghanistan","Asia",42.129
"12","Afghanistan","Asia",43.828
"13","Albania","Europe",55.23
"14","Albania","Europe",59.28
"15","Albania","Europe",64.82
"16","Albania","Europe",66.22
"17","Albania","Europe",67.69
"18","Albania","Europe",68.93
"19","Albania","Europe",70.42
"20","Albania","Europe",72
"21","Albania","Europe",71.581
"22","Albania","Europe",72.95
"23","Albania","Europe",75.651
"24","Albania","Europe",76.423
"25","Algeria","Africa",43.077
"26","Algeria","Africa",45.685
"27","Algeria","Africa",48.303
"28","Algeria","Africa",51.407
"29","Algeria","Africa",54.518
"30","Algeria","Africa",58.014
"31","Algeria","Africa",61.368
"32","Algeria","Africa",65.799
"33","Algeria","Africa",67.744
"34","Algeria","Africa",69.152
"35","Algeria","Africa",70.994
"36","Algeria","Africa",72.301
"37","Angola","Africa",30.015
"38","Angola","Africa",31.999
"39","Angola","Africa",34
"40","Angola","Africa",35.985
"41","Angola","Africa",37.928
"42","Angola","Africa",39.483
"43","Angola","Africa",39.942
"44","Angola","Africa",39.906
"45","Angola","Africa",40.647
"46","Angola","Africa",40.963
"47","Angola","Africa",41.003
"48","Angola","Africa",42.731
"49","Argentina","Americas",62.485
"50","Argentina","Americas",64.399
"51","Argentina","Americas",65.142
"52","Argentina","Americas",65.634
"53","Argentina","Americas",67.065
"54","Argentina","Americas",68.481
"55","Argentina","Americas",69.942
"56","Argentina","Americas",70.774
"57","Argentina","Americas",71.868
"58","Argentina","Americas",73.275
"59","Argentina","Americas",74.34
"60","Argentina","Americas",75.32
"61","Australia","Oceania",69.12
"62","Australia","Oceania",70.33
"63","Australia","Oceania",70.93
"64","Australia","Oceania",71.1
"65","Australia","Oceania",71.93
"66","Australia","Oceania",73.49
"67","Australia","Oceania",74.74
"68","Australia","Oceania",76.32
"69","Australia","Oceania",77.56
"70","Australia","Oceania",78.83
"71","Australia","Oceania",80.37
"72","Australia","Oceania",81.235
"73","Austria","Europe",66.8
"74","Austria","Europe",67.48
"75","Austria","Europe",69.54
"76","Austria","Europe",70.14
"77","Austria","Europe",70.63
"78","Austria","Europe",72.17
"79","Austria","Europe",73.18
"80","Austria","Europe",74.94
"81","Austria","Europe",76.04
"82","Austria","Europe",77.51
"83","Austria","Europe",78.98
"84","Austria","Europe",79.829
"85","Bahrain","Asia",50.939
"86","Bahrain","Asia",53.832
"87","Bahrain","Asia",56.923
"88","Bahrain","Asia",59.923
"89","Bahrain","Asia",63.3
"90","Bahrain","Asia",65.593
"91","Bahrain","Asia",69.052
"92","Bahrain","Asia",70.75
"93","Bahrain","Asia",72.601
"94","Bahrain","Asia",73.925
"95","Bahrain","Asia",74.795
"96","Bahrain","Asia",75.635
"97","Bangladesh","Asia",37.484
"98","Bangladesh","Asia",39.348
"99","Bangladesh","Asia",41.216
"100","Bangladesh","Asia",43.453
"101","Bangladesh","Asia",45.252
"102","Bangladesh","Asia",46.923
"103","Bangladesh","Asia",50.009
"104","Bangladesh","Asia",52.819
"105","Bangladesh","Asia",56.018
"106","Bangladesh","Asia",59.412
